Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Sudan,2008,34.64601135,101.98,13.32371508,14.8,24.7,130.032978,14.24958389,1304.533051,53.51737976,79,86,61.879,94260,67.081
Sudan,2009,29,104.24,13.61506215,13,24.2,150.0128212,3.95947682,1163.797223,53.51737976,82,81,62.33,96450,67.007
Sudan,2010,38.09628296,99.78,13.92184434,15.17,23.8,175.1627601,19.58057146,1489.874087,53.51737976,90,90,62.764,94810,66.911
Sudan,2011,39.85937881,106.86,19.11439197,17.44,21.1,190.0441747,20.36971133,1437.779831,53.51737976,87,93,63.171,94530,66.793
Sudan,2012,41.60363388,81.13,19.57076596,17.45,22.2,211.1412455,21.34240792,1332.914187,53.51737976,85,92,63.542,99320,66.654
Sudan,2013,43.32481003,94.74,20.04595656,17.47,22.2,213.8509202,27.95531418,1381.489462,53.51737976,85,93,63.875,99640,66.493
Sudan,2014,44.9,103.42,20.53568497,17.36,24.9,256.7562291,37.61861549,1625.463728,53.51737976,86,94,64.169,100830,66.311
Suriname,2000,95.4648056,64.07,3.018871795,12.69,25.7,2265.662159,60.74282171,2012.281651,89.59806061,84,71,67.822,2710,33.556
Suriname,2001,95.39545441,69.98,3.054961538,11.83,12.8,2358.500464,39.53022873,1750.576737,89.59806061,82,68,67.913,2800,33.483
Suriname,2002,95.31781006,57.46,3.091205128,11.08,17.8,2544.43956,37.45328205,2267.753984,89.59806061,73,73,68.064,2260,33.409
Suriname,2003,95.23069763,62.31,3.127807692,10.3,20.3,2477.773816,21.31797862,2611.377493,89.59806061,69,75,68.28,2460,33.336
Suriname,2004,95.13294983,65.22,3.164615385,9.49,29.4,2592.772646,12.83792776,3006.183233,89.59806061,86,85,68.555,2660,33.263
Suriname,2005,95.02353668,67.66,3.201673077,9.28,26.4,2764.980649,15.53981141,3590.648183,89.59806061,91,83,68.877,2860,33.318
Suriname,2006,91.01983989,72.49,3.239051282,9,24.7,2762.758959,39.03612463,5197.747907,89.59806061,83,84,69.227,2810,33.385
Suriname,2007,94.78339386,77.37,3.276801282,8.74,25.4,2768.099753,6.425201221,5744.759727,89.59806061,85,84,69.579,2700,33.453
Suriname,2008,94.66497803,77.34,3.314884615,8.56,24.4,3032.166491,15.52114354,6831.983622,94.62094116,86,85,69.91,2890,33.521
Suriname,2009,94.55599213,89.45,3.353288462,8.72,26.6,3026.114816,6.483624612,7408.360786,94.62094116,88,87,70.209,3030,33.588
Suriname,2010,91.19751586,92.05,3.391833333,7.15,19.5,2980.386524,7.196554181,8255.874872,94.67575073,87,94,70.465,3360,33.656
Suriname,2011,94.39122009,90.61,3.430621795,7.54,22.2,3316.659722,13.84444672,8263.203803,94.67575073,79,80,70.676,3620,33.724
Suriname,2012,94.34619904,91.27,3.469532051,8.1,15.7,3314.568025,10.73520027,9200.974786,92.86865997,64,76,70.851,4090,33.792
Suriname,2013,94.32529449,98.58,3.508301282,6.6,14.4,3630.583141,0.38376658,9402.164419,92.86865997,81,76,71.002,3940,33.86
Suriname,2014,94.32447815,101.64,3.546653846,6.94,16.3,3596.745217,1.583687044,9471.922001,92.86865997,70,71,71.133,4380,33.911
Tajikistan,2000,98.46774194,32.44,44.41504001,14.96,19.5,2161.56513,22.63187361,138.4291467,99.45068359,88,83,61.974,6720,73.499
Tajikistan,2001,98.62453461,33.89,45.14511289,14.55,19.5,2143.226805,30.94770632,171.0480646,99.45068359,88,85,62.807,6760,73.497
Tajikistan,2002,99,38.51,45.91926979,14.25,19.2,2140.547306,18.81970261,190.0026776,99.45068359,89,85,63.653,6810,73.495
Tajikistan,2003,100,42.27,46.73871106,13.87,19,2138.636867,27.08646891,237.7573352,99.45068359,91,85,64.496,6970,73.493
Tajikistan,2004,98.6827774,48.99,47.60210775,13.42,19.1,2160.185435,17.43157852,311.6272313,99.45068359,92,86,65.314,7530,73.492
Tajikistan,2005,99.3,52.05,48.50898828,12.94,18.9,2149.553166,9.514324662,340.5831832,99.45068359,85,84,66.08,7610,73.49
Tajikistan,2006,98.6686554,54.94,49.4612032,12.38,18.6,2137.783691,21.06243887,408.8384135,99.45068359,82,83,66.771,8060,73.488
Tajikistan,2007,98.65396881,58.09,50.46203915,11.84,18.5,2073.154518,27.23800309,526.6432883,99.45068359,85,86,67.382,8730,73.486
Tajikistan,2008,98.64247894,63.44,51.51417548,11.43,18.6,1947.038554,28.16348756,715.8657063,99.45068359,86,86,67.911,9080,73.484
Tajikistan,2009,99,72.4,52.62040583,11.5,18.7,1911.130205,12.12620149,676.1235111,99.45068359,89,93,68.36,8740,73.482
Tajikistan,2010,98.65398407,76,53.78248785,10.85,18.7,1893.217536,12.46166773,749.5524123,99.45068359,94,93,68.736,8780,73.48
Tajikistan,2011,98.68946075,78.44,54.99790654,10.16,18.5,1811.235768,13.32435557,847.3824321,99.45068359,98,96,69.055,9060,73.479
Tajikistan,2012,99.1,85.81,56.26491855,9.5,18.6,1761.0521,11.86851559,969.2961039,99.45068359,94,94,69.34,9840,73.455
Tajikistan,2013,98.83737183,95.56,57.58632466,8.86,18.6,1692.725684,3.633009451,1048.225602,99.45068359,92,96,69.609,10260,73.411
Tajikistan,2014,98.94347382,96.46,59.46441284,8.17,18.4,1499.485994,4.766661358,1104.172358,99.80000305,98,97,69.874,11700,73.345
Tanzania,2000,9.056112289,38.95,37.81799165,3.08,32.2,59.10592968,8.201104251,410.9523655,69.43090057,78,79,50.801,49270,77.691
Tanzania,2001,9.996443748,40.52,38.81897607,2.99,32,62.90378347,4.815969213,406.5387537,69.43090057,86,87,51.444,51370,77.326
Tanzania,2002,10.92848778,50.35,39.89025739,3.11,31.3,68.28963749,7.233030674,411.9723218,69.43090057,89,89,52.142,56550,76.956
Tanzania,2003,11.1,43.75,41.02255362,3.21,30,68.1384536,8.418682648,431.2797298,69.43090057,97,95,52.866,61730,76.389
Tanzania,2004,11.4,50.75,42.19887785,3.27,30.1,79.80253274,6.88562313,459.2592952,69.43090057,94,95,53.602,62620,75.777
Tanzania,2005,13.66328144,51.47,43.40745428,3.31,29.8,79.60921421,6.389613208,492.6313397,69.43090057,91,90,54.349,66440,75.155
Tanzania,2006,14.55442524,57.4,44.64739896,3.3,28.8,65.36250806,5.510095283,485.4974495,69.43090057,93,90,55.119,64640,74.522
Tanzania,2007,15.44251728,57.57,45.9261865,2.92,28.8,81.78181408,9.099389531,552.8395016,69.43090057,90,83,55.926,67750,73.879
Tanzania,2008,11.5,58.14,47.24988033,2.61,28.4,86.34789591,16.38075463,687.3904455,69.43090057,88,86,56.777,70490,73.224
Tanzania,2009,11.2,60.1,48.62703771,2.5,28.7,72.43377243,9.041662455,695.2168433,69.43090057,91,85,57.666,71630,72.561
Tanzania,2010,14.8,69.82,50.06382028,2.98,28.8,96.62536859,9.42871625,743.4036639,67.80069733,92,91,58.584,75950,71.886
Tanzania,2011,14.2,76.31,51.56188756,3.47,28.6,87.337258,12.19842288,781.4338957,73.68890765,93,90,59.525,81790,71.202
Tanzania,2012,15.3,80.98,53.11925152,3.19,30.3,97.80453473,10.483894,867.8574989,78.10059357,97,92,60.47,87950,70.507
Tanzania,2013,16.4,96.33,54.73372319,2.93,30.3,100.2410488,9.666183578,970.3996014,78.10059357,99,91,61.398,93940,69.804
Tanzania,2014,23.5,103.16,56.40162904,2.13,30.6,103.681778,6.050845889,1030.077648,78.10059357,97,97,62.288,97650,69.096
Thailand,2000,82.1,79.61,123.2215134,2.39,39,1448.072733,1.331049959,2007.735271,92.64653778,94,97,70.623,255430,68.614
Thailand,2001,90.45343018,82.54,124.3696099,2.6,39.3,1504.756356,1.917532245,1893.264239,92.64653778,94,96,70.832,266640,67.452
